date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:53	1304/1304	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/ico/favicon-16x16.png	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/ico/favicon-16x16.png	(from https://blockstudio.tw/)
00:23:53	720/720	---M--	200	added ('OK')	application/json	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/ico/manifest.json	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/ico/manifest.json	(from https://blockstudio.tw/)
00:23:53	5888/5888	---M--	200	added ('OK')	image/png	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/ico/ms-icon-144x144.png	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/ico/ms-icon-144x144.png	(from https://blockstudio.tw/)
00:23:54	280952/280952	---M--	200	added ('OK')	text/css	date:Sun,%2027%20Dec%202020%2015:32:29%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/main.min.css	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/css/main.min.css	(from https://blockstudio.tw/)
00:23:54	666/666	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/BS-logo-blue.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/BS-logo-blue.svg	(from https://blockstudio.tw/)
00:23:54	78590/78590	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/block-map-2.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/block-map-2.svg	(from https://blockstudio.tw/)
00:23:54	57818/57818	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/block-map-3.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/block-map-3.svg	(from https://blockstudio.tw/)
00:23:54	4146/4146	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-blue.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-blue.svg	(from https://blockstudio.tw/)
00:23:55	454498/454498	---M--	200	added ('OK')	image/jpeg	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/block-map-1.jpg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/block-map-1.jpg	(from https://blockstudio.tw/)
00:23:55	6978/6978	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/spleenwort.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/spleenwort.svg	(from https://blockstudio.tw/)
